A01B	农业或林业的整地；农业机械或农具的部件
A01C	种植；播种；施肥
A01D	收获；割草
A01F	收获产品的加工；干草或禾秆的压捆机械；农业或园艺产品的储藏装置
A01G	园艺；蔬菜、花卉、稻、果树、葡萄、啤酒花或海菜的栽培；林业；浇水
A01H	新植物或获得新植物的方法；通过组织培养技术的植物再生
A01J	乳制品的加工
A01K	畜牧业；禽类、鱼类、昆虫的管理；捕鱼；饲养或养殖其它类不包括的动物；动物的新品种
A01L	动物钉蹄铁
A01M	动物的捕捉、诱捕或惊吓；消灭有害动物或有害植物用的设备
A01N	人体—动植物体或其局部的保存；杀生剂；害虫驱避剂或引诱剂；植物生长调节剂
A21B	食品烤炉；焙烤用机械或设备
A21C	制作或加工面团的机械或设备；处理由面团制作的焙烤食品
A21D	面粉或面团的处理，如保存，如添加材料；焙烤；焙烤产品；及其保存
A22B	屠宰
A22C	肉类、家禽或鱼的加工
A23B	保存，如用罐头贮存肉，鱼，蛋，水果，蔬菜，食用种籽；水果或蔬菜的化学催熟；保存，催熟或罐制的产品
A23C	乳制品，如牛奶，黄油，干酪；牛奶或干酪的代用品；其制备
A23D	食用油或脂肪，例如:人造奶油、松酥油脂、烹饪用油
A23F	咖啡；茶；其代用品；它们的制造、配制或泡制
A23G	可可；巧克力；糖食；冰淇淋
A23J	食用蛋白质组合物；食用蛋白质的加工；食用磷脂组合物
A23K	饲料
A23L	没有包括在A23B到A23J小类之中的食品，食料或非酒精饮料；它们的制备或处理，如烹调，营养品质的改进，物理处理；食品或食料的一般保存
A23N	其它类不包括的处理大量收获的水果，蔬菜或花球茎的机械或装置；大量蔬菜或水果的去皮；制备牲畜饲料装置
A23P	未为其它单一小类所完全包括的食料成形或加工
A24B	吸烟或嚼烟的制造或制备；烟草；鼻烟
A24C	制造雪茄烟或纸烟的机械
A24D	雪茄；纸烟；烟油滤芯；雪茄烟或纸烟的烟嘴；烟油滤芯或烟嘴的制造
A24F	吸烟者用品；火柴盒
A41B	衬衣；内衣；婴儿内衣；手帕
A41C	妇女紧身衣；胸罩
A41D	外衣；防护服；衣饰配件
A41F	衣服扣件；吊带
A41G	人造花；假发；面具；羽饰
A41H	缝制衣服的工具或方法，例如，其它类未列入的制作女服用的，裁制用的
A42B	帽子；头部覆盖物
A42C	制造或装饰帽子或其它头部覆盖物
A43B	鞋类的特征；鞋类的部件
A43C	鞋类的紧固物或附件；一般的鞋带
A43D	制鞋或修鞋的机械、工具、设备或方法
A44B	钮扣，别针，带扣，拉链或类似物
A44C	珠宝；手镯；其它人身装饰品；硬币
A45B	手杖；伞；女用扇或类似物
A45C	小包；旅行袋或篮；手提箱
A45D	理发或修面设备；修指甲或其它化妆处理
A45F	旅行或野营装备
A46B	刷类
A46D	各种刷子的制造
A47B	桌子；写字台；办公家具；柜橱；抽屉；家具的一般零件
A47C	椅子；沙发；床
A47D	儿童专用的家具
A47F	商店、仓库、酒店、饭店等场所用的特种家具、配件或附件；付款柜台
A47G	家庭用具或餐桌用具
A47H	门和窗的装饰品
A47J	厨房用具；咖啡磨；香料磨；饮料制备装置
A47K	未列入其它类的卫生设备；盥洗室辅助用具
A47L	家庭的洗涤或清扫；一般吸尘器
A61B	诊断；外科；鉴定
A61C	牙科；口腔或牙齿卫生
A61D	兽医用仪器、器械、工具或方法
A61F	可植入血管内的滤器；假肢体；矫形、护理或避孕装置；热敷；眼或耳的治疗或保护；绷带、敷料或吸收垫；急救箱
A61G	运送病人或方便病人的设备；手术台或手术椅；牙科椅子；丧葬用具
A61H	理疗装置，例如用于寻找或刺激体内反射点的装置；人工呼吸；按摩；用于特殊治疗或保健目的或人体特殊部分的洗浴装置
A61J	专用于医学或医药目的的容器；专用于把药品制成特殊的物理或服用形式的装置或方法；喂饲食物或口服药物的器具；婴儿用橡皮奶头；收集唾液的器具
A61K	医用、牙科用或梳妆用的配制品
A61L	材料或物体消毒的一般方法或装置；灭菌、消毒或空气的除臭；绷带、敷料或外科用品的化学方面；绷带、敷料、吸收垫或外科用品的材料
A61M	将介质输入人体内或输到人体上的器械；为转移人体介质或为从人体内取出介质的器械；用于产生或结束睡眠或昏迷的器械
A61N	电疗；磁疗；放射疗；超声波疗
A61P	化合物或药物制剂的治疗活性
A62B	救生设备、救生装置或救生方法
A62C	消防
A62D	灭火或者消灭或预防有害化学药剂的化学方法；呼吸装置中用的化学材料
A63B	体育锻炼、体操、游泳、爬山或击剑用的器械；球类；训练器械
A63C	冰鞋；滑橇；滚轮溜冰鞋；球场、冰场或类似场地的设计或布局
A63D	滚木球游戏滚道；滚木球游戏；意大利草地滚木球游戏；滚木球；台球游戏；弹子游戏
A63F	纸牌、棋盘或轮盘赌游戏；利用小型运动物体所做的室内游戏；其它各种游戏
A63G	旋转木马；秋千；摇木马；滑运道；娱乐用自动铁路；供公共娱乐用的类似装置
A63H	玩具，如陀螺、玩偶、滚铁环、积木
A63J	供戏院、马戏场等使用的装置；变戏法用具或类似用具
A63K	赛马；骑马运动；所用的设备或附件
B01B	沸腾；沸腾装置
B01D	分离
B01F	混合，例如：溶解、乳化、分散
B01J	化学或物理方法，例如：催化作用，胶体化学；其有关设备
B01L	通用化学或物理实验室设备
B02B	碾磨谷物的准备；靠加工表壳将谷粒精制为商品
B02C	一般破碎，研磨或粉碎；碾磨谷物
B03B	用液体或用风力摇床或风力跳汰机分离固体物料
B03C	从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离
B03D	浮选；选择性沉积法
B04B	离心机
B04C	自由旋流装置
B05B	喷射装置
B05C	一般对表面涂布液体或其它流体的装置
B05D	一般对表面涂布液体或其它流体的工艺
B06B	一般的机械振动的发生或传递
B07B	用细筛、粗筛、筛分或用气流将固体从固体中分离；适用于散装物料的其它干式分离法，例如适于象散装物料那样处理的松散物品的分离
B07C	邮件分拣；单件物品的分选，或适于一件一件地分选的散装材料的分选，如拣选
B08B	一般清洁；一般污垢的防除
B09B	固体废物的处理
B09C	污染的土壤的再生
B21B	金属的轧制
B21C	用非轧制的方式生产金属板、线、棒、管或型材；与基本无切削金属加工有关的辅助加工
B21D	金属板或管、棒或型材的基本无切削加工或处理；冲压
B21F	线材的加工或处理
B21G	针、销、或钉的制造
B21H	用轧制方法制造特殊的金属物品，如螺钉、轮、环、桶，球
B21J	锻造；锤击；压制；铆接；锻造炉
B21K	锻件或压制件的制造，如马蹄铁、铆钉、螺栓、轮子
B21L	链条的制造
B22C	铸造造型
B22D	金属铸造；用相同工艺或设备的其它物质的铸造
B22F	金属粉末的加工；由金属粉末制造制品；金属粉末的制造
B23B	车削；镗削
B23C	铣削
B23D	刨削；插削；剪切；拉削；锯；锉削；刮削；其它类不包括的用切除材料方式对金属加工的类似操作
B23F	齿轮或齿条的制造
B23G	螺纹切制；螺钉、螺栓头、或螺母的加工，及其有关的加工
B23H	用电极代替刀具；以电流高度集中的作用在工件上的金属加工；这种加工与其它方式的金属加工的组合
